Datetime,Open,High,Low,Close,Volume
03-01-2000 09:15,1054.8101,1054.8101,1054.8101,1054.8101,0
04-01-2000 09:15,1092.08,1092.08,1092.08,1092.08,0
05-01-2000 09:15,1055.99,1055.99,1055.99,1055.99,0
06-01-2000 09:15,1086.67,1086.67,1086.67,1086.67,0
07-01-2000 09:15,1126.99,1126.99,1126.99,1126.99,0
10-01-2000 09:15,1088.97,1088.97,1088.97,1088.97,0
11-01-2000 09:15,1033.55,1033.55,1033.55,1033.55,0
12-01-2000 09:15,1036.63,1036.63,1036.63,1036.63,0
13-01-2000 09:15,1034.1899,1034.1899,1034.1899,1034.1899,0
14-01-2000 09:15,1023.41,1023.41,1023.41,1023.41,0
17-01-2000 09:15,1035.99,1035.99,1035.99,1035.99,0
18-01-2000 09:15,1021.69,1021.69,1021.69,1021.69,0
19-01-2000 09:15,1057.89,1057.89,1057.89,1057.89,0
20-01-2000 09:15,1046.3101,1046.3101,1046.3101,1046.3101,0
21-01-2000 09:15,1058.91,1058.91,1058.91,1058.91,0
24-01-2000 09:15,1049.8199,1049.8199,1049.8199,1049.8199,0
25-01-2000 09:15,1061.6,1061.6,1061.6,1061.6,0
27-01-2000 09:15,1096.45,1096.45,1096.45,1096.45,0
28-01-2000 09:15,1153.35,1153.35,1153.35,1153.35,0
31-01-2000 09:15,1148.89,1148.89,1148.89,1148.89,0
01-02-2000 09:15,1175.15,1175.15,1175.15,1175.15,0
02-02-2000 09:15,1186.97,1186.97,1186.97,1186.97,0
03-02-2000 09:15,1185.11,1185.11,1185.11,1185.11,0
04-02-2000 09:15,1172.21,1172.21,1172.21,1172.21,0
07-02-2000 09:15,1158.08,1158.08,1158.08,1158.08,0
08-02-2000 09:15,1150.2,1150.2,1150.2,1150.2,0
09-02-2000 09:15,1154.25,1154.25,1154.25,1154.25,0
10-02-2000 09:15,1181.48,1181.48,1181.48,1181.48,0
11-02-2000 09:15,1156.67,1156.67,1156.67,1156.67,0
14-02-2000 09:15,1212.66,1212.66,1212.66,1212.66,0
15-02-2000 09:15,1148.1,1148.1,1148.1,1148.1,0
16-02-2000 09:15,1167.64,1167.64,1167.64,1167.64,0
17-02-2000 09:15,1178.51,1178.51,1178.51,1178.51,0
18-02-2000 09:15,1151.5601,1151.5601,1151.5601,1151.5601,0
21-02-2000 09:15,1142.8,1142.8,1142.8,1142.8,0
22-02-2000 09:15,1091.48,1091.48,1091.48,1091.48,0
23-02-2000 09:15,1092.85,1092.85,1092.85,1092.85,0
24-02-2000 09:15,1103.9,1103.9,1103.9,1103.9,0
25-02-2000 09:15,1109.38,1109.38,1109.38,1109.38,0
28-02-2000 09:15,1141.1801,1141.1801,1141.1801,1141.1801,0
29-02-2000 09:15,1075.15,1075.15,1075.15,1075.15,0
01-03-2000 09:15,1139.88,1139.88,1139.88,1139.88,0
02-03-2000 09:15,1141.08,1141.08,1141.08,1141.08,0
03-03-2000 09:15,1124.7,1124.7,1124.7,1124.7,0
06-03-2000 09:15,1126.59,1126.59,1126.59,1126.59,0
