Datetime,Open,High,Low,Close,Volume
03-01-2000 09:15,1054.8101,1126.99,1054.8101,1126.99,0
10-01-2000 09:15,1088.97,1088.97,1023.41,1023.41,0
17-01-2000 09:15,1035.99,1058.91,1021.69,1058.91,0
24-01-2000 09:15,1049.8199,1153.35,1049.8199,1153.35,0
31-01-2000 09:15,1148.89,1186.97,1148.89,1172.21,0
07-02-2000 09:15,1158.08,1181.48,1150.2,1156.67,0
14-02-2000 09:15,1212.66,1212.66,1148.1,1151.5601,0
21-02-2000 09:15,1142.8,1142.8,1091.48,1109.38,0
28-02-2000 09:15,1141.1801,1141.1801,1075.15,1124.7,0
06-03-2000 09:15,1126.59,1126.59,987.88,987.88,0
13-03-2000 09:15,978.64001,1055.36,978.64001,1055.36,0
20-03-2000 09:15,1074.75,1088.21,1074.75,1086.3199,0
27-03-2000 09:15,1071.09,1106.83,1070.13,1106.83,0
03-04-2000 09:15,1110.14,1110.14,989.20001,1048.75,0
10-04-2000 09:15,1087.71,1105.1899,1056.89,1056.89,0
17-04-2000 09:15,1003.89,1031.28,1003.89,1026.09,0
24-04-2000 09:15,1009.29,1067.5699,1009.29,1056.2,0
01-05-2000 09:15,1021.98,1040.91,1020.9,1040.91,0
08-05-2000 09:15,1031.09,1032.5,995.66998,995.66998,0
15-05-2000 09:15,993.34998,999.40002,984.62,988.26001,0
22-05-2000 09:15,966.01001,966.01001,948.47998,953.85999,0
29-05-2000 09:15,966.83002,1007.95,966.83002,1007.95,0
05-06-2000 09:15,1034.98,1070.22,1029.53,1070.22,0
12-06-2000 09:15,1052.4399,1098,1052.4399,1098,0
19-06-2000 09:15,1087.05,1120.48,1087.05,1120.48,0
26-06-2000 09:15,1084.38,1093.55,1083.34,1087.1801,0
03-07-2000 09:15,1119.29,1135.0601,1119.29,1130.0601,0
10-07-2000 09:15,1110.67,1116.83,1095.11,1095.11,0
17-07-2000 09:15,1081.53,1090.71,1046.92,1046.92,0
24-07-2000 09:15,983.98999,1010.99,983.98999,1002.71,0
31-07-2000 09:15,993.58002,1009.51,979.72998,1009.51,0
07-08-2000 09:15,986.89001,1017.43,986.89001,994.59998,0
14-08-2000 09:15,991.83002,1008.41,987.09998,987.09998,0
21-08-2000 09:15,981.28998,994.70001,975.52002,994.70001,0
